"id","taxon_group","language_iso","kingdom_taxon","kingdom_taxa_taxon_list_id","order_taxon","order_taxa_taxon_list_id","family_taxon","family_taxa_taxon_list_id","parent_id","taxonomic_sort_order","taxon","authority","taxon_rank","taxon_rank_sort_order","preferred","preferred_taxon","preferred_authority","default_common_name","freshwater_flag","non_native_flag"
416429,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Choreutidae",51999,89952,NULL,"Tebenna bjerkandrella","sensu Pierce & Metcalfe, 1935 ♀ genitalia et auctt. nec (Thunberg, 1784)","Species",300,False,"Tebenna micalis","(Mann, 1857)","Vagrant Twitcher",False,False
142559,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Sesiidae",168822,395135,NULL,"Synansphecia","Cãpuşe","Genus",230,False,"Pyropteron","Newman, 1832",NULL,False,False
256297,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,399449,NULL,"Tortrix","Linnaeus","Genus",230,False,"Tortrix","Linnaeus, 1758",NULL,False,False
423768,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tineidae",179979,165954,NULL,"Nemapogon koenigi","Capuşe, 1967","Species",300,True,"Nemapogon koenigi","Capuşe, 1967",NULL,False,False
492354,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,218698,NULL,"Pungelaria",NULL,"Genus",230,False,"Pungeleria","Rougemont, 1903",NULL,False,False
498242,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Depressariidae",396754,395212,NULL,"Agonopterix",NULL,"Genus",230,False,"Agonopterix","Hübner, [1825]",NULL,False,False
150459,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Pterophoridae",202596,398669,NULL,"Stenoptilia","Hübner","Genus",230,False,"Stenoptilia","Hübner, [1825]",NULL,False,False
156975,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,399678,NULL,"Phalonidia","Le Marchand, 1933","Genus",230,True,"Phalonidia","Le Marchand, 1933",NULL,False,False
532649,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Crambidae",291555,400290,NULL,"Phlyctaenia",NULL,"Genus",230,False,"Anania","Hübner, [1825]",NULL,False,False
492625,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Lasiocampidae",222451,201624,NULL,"Malacosoma (Trichodia)","Stephens, 1827","Subgenus",240,True,"Malacosoma (Trichodia)","Stephens, 1827",NULL,False,False
494860,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,17746,NULL,"Charissa (Charissa)","Curtis, 1826","Subgenus",240,True,"Charissa (Charissa)","Curtis, 1826",NULL,False,False
514225,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,399936,NULL,"Trigonophora",NULL,"Genus",230,False,"Trigonophora","Hübner, [1821]",NULL,False,False
121923,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,216117,NULL,"Epirrhoe alternata subsp. alternata","(Müller, 1764)","Subspecies",320,False,"Epirrhoe alternata alternata","(Müller, 1764)","Common Carpet",False,False
409520,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,251935,NULL,"Dichrorampha plumbana","sensu Pierce & Metcalfe, 1922 ♀ genitalia nec (Scopoli, 1763)","Species",300,False,"Dichrorampha aeratana","(Pierce & Metcalfe, 1915)","Obscure Drill",False,False
56406,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Psychidae",55847,394931,NULL,"Proutia","Tutt, 1899","Genus",230,True,"Proutia","Tutt, 1899",NULL,False,False
305887,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,399409,NULL,"Hedya dimidioalba",NULL,"Species",300,False,"Hedya nubiferana","(Haworth, 1811)","Marbled Orchard Tortrix",False,False
406620,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,39312,NULL,"Acleris maccana","sensu Pierce & Metcalfe, 1922 ♂ genitalia nec (Treitschke, 1835)","Species",300,False,"Acleris hastiana","(Linnaeus, 1758)","Sallow Button",False,False
506143,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,399936,NULL,"Eupsilia",NULL,"Genus",230,False,"Eupsilia","Hübner, [1821]",NULL,False,False
496867,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gelechiidae",213249,397710,NULL,"Isophrictis",NULL,"Genus",230,False,"Isophrictis","Meyrick, 1917",NULL,False,False
533320,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,399449,NULL,"Tortrix",NULL,"Genus",230,False,"Tortrix","Linnaeus, 1758",NULL,False,False
527864,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tineidae",179979,179979,NULL,"Euplocamus",NULL,"Genus",230,False,"Euplocamus","Latreille, 1809",NULL,False,False
44187,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Zygaenidae",40909,67206,NULL,"Zygaena purpuralis subsp. segontii","Tremewan, 1958","Subspecies",320,False,"Zygaena purpuralis segontii","Tremewan, 1958",NULL,False,False
122673,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,394469,NULL,"Anticollix","Prout","Genus",230,False,"Anticollix","Prout, 1938",NULL,False,False
137018,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gelechiidae",213249,397710,NULL,"Bryotropha","Heinemann","Genus",230,False,"Bryotropha","Heinemann, 1870",NULL,False,False
527792,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Erebidae",289269,395368,NULL,"Dysgonia",NULL,"Genus",230,False,"Dysgonia","Hübner, [1823]",NULL,False,False
508445,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Pterophoridae",202596,398669,NULL,"Ovendenia",NULL,"Genus",230,False,"Hellinsia","Tutt, 1905",NULL,False,False
414569,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,164293,NULL,"Lithophane furcifera furcifera","(Hufnagel, 1766)","Subspecies",320,True,"Lithophane furcifera furcifera","(Hufnagel, 1766)","Conformist",False,False
